variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-1330,1330,2652,2652,1.0030165912518854,#e76f51,0.0926,0.117,0.1088,0.1918,0.0873,0.1005
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-1596,1596,2652,2652,1.2036199095022624,#e76f51,0.0934,0.1178,0.1092,0.1909,0.0876,0.0996
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-1862,1862,2652,2652,1.4042232277526394,#e76f51,0.0937,0.1192,0.1096,0.1928,0.0878,0.1007
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-2128,2128,2652,2652,1.6048265460030167,#e76f51,0.0943,0.1199,0.1102,0.1928,0.0884,0.1013
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-2394,2394,2652,2652,1.8054298642533937,#e76f51,0.0945,0.1201,0.1103,0.1933,0.0885,0.1014
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-2652,2652,2652,2652,2.0,#e76f51,0.0945,0.1205,0.1103,0.1935,0.0885,0.1017
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,#E69F00,0.0856,0.111,0.1018,0.1855,0.0797,0.0926
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#E69F00,0.0901,0.113,0.1078,0.1962,0.0848,0.0965
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#E69F00,0.0881,0.1137,0.1055,0.1946,0.0823,0.0955
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,#E69F00,0.0906,0.1157,0.1068,0.191,0.0845,0.0967
