variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5,aligned_epoch,aligned_tail_index,aligned_tail_point_count,aligned_reference_key
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-2128,2128,2652,2652,1.6048265460030167,#e76f51,0.0943,0.1199,0.1102,0.1928,0.0884,0.1013,1.9375,7,9,dynamic_dual_task
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-2394,2394,2652,2652,1.8054298642533937,#e76f51,0.0945,0.1201,0.1103,0.1933,0.0885,0.1014,1.96875,8,9,dynamic_dual_task
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-2652,2652,2652,2652,2.0,#e76f51,0.0945,0.1205,0.1103,0.1935,0.0885,0.1017,2.0,9,9,dynamic_dual_task
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#b5179e,0.0903,0.1153,0.107,0.1927,0.0843,0.0967,1.75,1,9,dynamic_dual_task
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#b5179e,0.0924,0.1166,0.1087,0.1928,0.0866,0.0985,1.78125,2,9,dynamic_dual_task
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,#b5179e,0.092,0.1148,0.1083,0.1908,0.0866,0.0982,1.8125,3,9,dynamic_dual_task
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,#b5179e,0.0947,0.119,0.1108,0.1935,0.089,0.101,1.84375,4,9,dynamic_dual_task
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,#b5179e,0.0942,0.1171,0.1103,0.1919,0.0889,0.1007,1.875,5,9,dynamic_dual_task
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,#b5179e,0.0946,0.1182,0.1111,0.1948,0.089,0.1007,1.90625,6,9,dynamic_dual_task
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,#b5179e,0.0948,0.118,0.1116,0.1958,0.0892,0.1006,1.9375,7,9,dynamic_dual_task
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#b5179e,0.0947,0.1185,0.1112,0.1952,0.0892,0.1013,1.96875,8,9,dynamic_dual_task
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-3326,3326,3326,3326,2.0,#b5179e,0.0945,0.1179,0.1111,0.1951,0.0891,0.1011,2.0,9,9,dynamic_dual_task
