HR@1,HR@10,HR@20,HR@3,HR@5,HR@50,NDCG@1,NDCG@10,NDCG@20,NDCG@3,NDCG@5,NDCG@50,checkpoint,checkpoint_step,experiment,status
0.0736,0.1132,0.1381,0.0875,0.0966,0.1914,0.0736,0.0907,0.097,0.0817,0.0854,0.1075,checkpoint-666,666,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0743,0.1134,0.1371,0.0879,0.0961,0.1905,0.0743,0.0912,0.0972,0.0823,0.0857,0.1077,checkpoint-999,999,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.074,0.1172,0.1431,0.0887,0.0983,0.1931,0.074,0.0926,0.0991,0.0826,0.0866,0.109,checkpoint-1332,1332,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0745,0.1174,0.143,0.0901,0.0992,0.1902,0.0745,0.0933,0.0997,0.0837,0.0874,0.109,checkpoint-1665,1665,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0754,0.1154,0.1391,0.0895,0.0981,0.1857,0.0754,0.0928,0.0987,0.0837,0.0872,0.1079,checkpoint-1998,1998,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0754,0.1159,0.1395,0.0892,0.0984,0.1863,0.0754,0.0927,0.0987,0.0833,0.0872,0.1079,checkpoint-2331,2331,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0753,0.1162,0.139,0.0897,0.0996,0.1853,0.0753,0.093,0.0987,0.0836,0.0877,0.1079,checkpoint-2664,2664,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.076,0.1169,0.1394,0.0895,0.0997,0.1855,0.076,0.0936,0.0992,0.0839,0.088,0.1083,checkpoint-2997,2997,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0761,0.1166,0.1391,0.0898,0.0993,0.1855,0.0761,0.0935,0.0991,0.084,0.0879,0.1083,checkpoint-3326,3326,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0597,0.1077,0.1303,0.0801,0.0896,0.1749,0.0597,0.0815,0.0871,0.0717,0.0756,0.0959,checkpoint-266,266,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0706,0.1104,0.134,0.0854,0.0935,0.1868,0.0706,0.0881,0.094,0.0793,0.0826,0.1043,checkpoint-532,532,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0701,0.1131,0.1363,0.0875,0.0961,0.1848,0.0701,0.0892,0.095,0.0802,0.0837,0.1046,checkpoint-798,798,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0718,0.1138,0.1373,0.0886,0.0968,0.1832,0.0718,0.0905,0.0964,0.0817,0.0851,0.1054,checkpoint-1064,1064,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0711,0.1141,0.1388,0.0894,0.0992,0.1844,0.0711,0.0906,0.0968,0.0818,0.0858,0.1059,checkpoint-1330,1330,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
